,fnames,keep
0,EO1H0490252012188110K0,True
1,EO1H0510222004171110PY,True
2,EO1H0490252013221110K1,True
3,EO1H0430242009236110PT,True
4,EO1H0470262008218110PM,True
5,EO1H0530222004169110PZ,True
6,EO1H0490252010197110K0,True
7,EO1H0490252005207110PV,True
8,EO1H0490252008180110P0,False
9,EO1H0490252010166110K0,True
10,EO1H0500222002190110PZ,True
11,EO1H0490252008231110K1,True
12,EO1H0470262004223110PO,False
13,EO1H0490222003154110PZ,True
14,EO1H0490252010215110K0,True
15,EO1H0540232002163110KY,False
16,EO1H0490252009242110K1,False
17,EO1H0460252005218110PZ,True
18,EO1H0450222004225110PZ,True
19,EO1H0510242004155110PZ,True
20,EO1H0480232015161110KE,False
21,EO1H0470262002192110KY,True
22,EO1H0490252013216110K0,True
23,EO1H0490252009206110K1,True
24,EO1H0490252014212110K0,True
25,EO1H0490252012193110K1,True
26,EO1H0490252013155110K1,False
27,EO1H0490252010202110P0,True
